,ID,Day,Treatment,group,Mass
ANS1-D1,ANS1-D1,1,Control,ANS1,9.25
ANS1-D30,ANS1-D30,30,Control,ANS1,9.09
ANS1-D60,ANS1-D60,60,Control,ANS1,9.3
ANS2-D1,ANS2-D1,1,Control,ANS2,5.67
ANS2-D30,ANS2-D30,30,Control,ANS2,5.24
ANS2-D60,ANS2-D60,60,Control,ANS2,10.469
ANS3-D1,ANS3-D1,1,Control,ANS3,9.98
ANS3-D30,ANS3-D30,30,Control,ANS3,9.62
ANS3-D60,ANS3-D60,60,Control,ANS3,9.152
ANS4-D1,ANS4-D1,1,Control,ANS4,11.46
ANS4-D30,ANS4-D30,30,Control,ANS4,10.35
ANS4-D60,ANS4-D60,60,Control,ANS4,5.617
ANS5-D1,ANS5-D1,1,Control,ANS5,8.56
ANS5-D30,ANS5-D30,30,Control,ANS5,8.31
ANS5-D60,ANS5-D60,60,Control,ANS5,8.408
ANS6-D1,ANS6-D1,1,Control,ANS6,8.7
ANS6-D30,ANS6-D30,30,Control,ANS6,8.36
ANS6-D60,ANS6-D60,60,Control,ANS6,8.253
ANS7-D1,ANS7-D1,1,Control,ANS7,8.68
ANS7-D30,ANS7-D30,30,Control,ANS7,8.07
ANS7-D60,ANS7-D60,60,Control,ANS7,9.076
ARL1-D1,ARL1-D1,1,Control,ARL1,7.32
ARL1-D30,ARL1-D30,30,Control,ARL1,7.11
ARL1-D60,ARL1-D60,60,Control,ARL1,7.337
ARL2-D1,ARL2-D1,1,Control,ARL2,5.73
ARL2-D30,ARL2-D30,30,Control,ARL2,5.69
ARL2-D60,ARL2-D60,60,Control,ARL2,5.428
ARL3-D1,ARL3-D1,1,Control,ARL3,5.86
ARL3-D30,ARL3-D30,30,Control,ARL3,5.73
ARL3-D60,ARL3-D60,60,Control,ARL3,5.234
ARL4-D1,ARL4-D1,1,Control,ARL4,6.11
ARL4-D30,ARL4-D30,30,Control,ARL4,5.55
ARL4-D60,ARL4-D60,60,Control,ARL4,5.205
ARL5-D1,ARL5-D1,1,Control,ARL5,6.91
ARL5-D30,ARL5-D30,30,Control,ARL5,7.16
ARL5-D60,ARL5-D60,60,Control,ARL5,6.641
ARL6-D1,ARL6-D1,1,Control,ARL6,5.23
ARL6-D30,ARL6-D30,30,Control,ARL6,4.86
ARL6-D60,ARL6-D60,60,Control,ARL6,4.57
LH1-D1,LH1-D1,1,Control,LH1,7.85
LH1-D30,LH1-D30,30,Control,LH1,7.77
LH1-D60,LH1-D60,60,Control,LH1,7.118
LH2-D1,LH2-D1,1,Control,LH2,9.26
LH2-D30,LH2-D30,30,Control,LH2,8.95
LH2-D60,LH2-D60,60,Control,LH2,8.916
LH3-D1,LH3-D1,1,Control,LH3,12.01
LH3-D30,LH3-D30,30,Control,LH3,11.58
LH3-D60,LH3-D60,60,Control,LH3,11.113
LH4-D1,LH4-D1,1,Control,LH4,8.58
LH4-D30,LH4-D30,30,Control,LH4,8.86
LH4-D60,LH4-D60,60,Control,LH4,8.217
LH5-D1,LH5-D1,1,Control,LH5,9.66
LH5-D30,LH5-D30,30,Control,LH5,8.95
LH5-D60,LH5-D60,60,Control,LH5,8.644
LH6-D1,LH6-D1,1,Control,LH6,8.03
LH6-D30,LH6-D30,30,Control,LH6,7.4
LH6-D60,LH6-D60,60,Control,LH6,7.334
LH7-D1,LH7-D1,1,Control,LH7,7.55
LH7-D30,LH7-D30,30,Control,LH7,7.14
LH7-D60,LH7-D60,60,Control,LH7,7.066
